batter,hittype,speed_A,True_speed
369,ground_ball,95.3639406779378,90.87657997021094
369,line_drive,105.0881072160945,104.49328907470492
369,popup,80.77970773459255,78.32267329556505
370,fly_ball,86.06898460704485,85.61995188991744
370,ground_ball,91.37638797837612,88.83222376455358
370,line_drive,97.3990974795331,97.29834761955351
371,fly_ball,86.1133831252479,85.85540283551668
371,ground_ball,88.93796978727445,90.39384774144541
371,line_drive,96.54647102547995,96.36978862471719
371,popup,81.99030860210405,81.08152504385995
372,fly_ball,84.5556764241584,84.82158752099832
372,ground_ball,83.1953968860768,86.15694731035175
372,line_drive,87.9067816072983,87.80500582182115
372,popup,80.6398378266428,74.24770281596895
373,ground_ball,90.6934276478808,90.76890107907256
373,popup,72.9301477062992,73.8613683553638
374,fly_ball,95.4188293329961,95.19612492281006
374,ground_ball,89.59886249179246,91.15295638450769
374,line_drive,91.0187718464603,91.24613386197423
374,popup,78.7455291043127,79.14477227596541
375,fly_ball,81.0480160681187,81.38115826266284
375,ground_ball,77.33548846236096,88.96592022733714
375,line_drive,87.9895860727788,86.62795588941162
375,popup,74.0680142148027,74.58645955880972
376,fly_ball,90.17542726300346,90.53991877453355
376,ground_ball,92.8273301750594,92.16579418867099
376,line_drive,95.0943367950729,94.86030698047831
376,popup,82.4740423304995,80.44079423537063
377,fly_ball,82.2012025595567,83.53523266456959
377,ground_ball,85.4830964110146,85.7319647477707
378,fly_ball,84.4974587627067,84.46796001931465
378,ground_ball,89.25704600148646,91.23217232636878
378,popup,75.9712093275192,81.9360163818716
379,fly_ball,89.10230792092482,88.07558783247396
379,ground_ball,86.3682902886435,89.69095594707174
379,line_drive,94.9240752060371,95.23297780233655
379,popup,79.1876428003281,74.27748769869677
380,fly_ball,87.83753582483814,88.14428382845583
380,ground_ball,78.5102711053976,86.94407487360074
380,line_drive,104.287763066879,105.54201705033441
380,popup,78.0082072812024,76.73197607497774
381,fly_ball,93.1548796344077,94.25918376711084
381,ground_ball,91.5171295781738,90.40421085423088
381,line_drive,94.95588990955795,95.01584834333771
381,popup,76.1066163599069,76.61152009022841
382,ground_ball,81.0081496906093,85.10380338263957
382,line_drive,93.63568368796889,93.88091708018902
382,popup,71.6421356627547,73.6372733528102
383,fly_ball,90.5178485268188,89.72052101256305
383,ground_ball,94.6912871701336,92.76615670566466
383,line_drive,97.88329856610235,98.76929358745389
383,popup,86.2853912166786,82.49851989139736
384,fly_ball,94.989241969664,96.02892541936313
384,ground_ball,89.8948741315,90.45184611568925
384,line_drive,98.1283055103553,98.12991184691234
384,popup,79.0856885986325,82.92603164504939
385,fly_ball,92.36207430311865,92.80807660650999
385,ground_ball,91.85770107118906,91.00255526312574
385,line_drive,98.0288445035145,98.1345045167238
385,popup,79.9925859498558,79.00053343421385
386,ground_ball,92.4993010992586,87.52249828057049
386,line_drive,91.60739333284855,91.93017065609061
386,popup,75.9712093275192,74.2590543035997
387,fly_ball,89.94629641966368,89.00321783094887
387,ground_ball,84.7038839482414,89.02013054308931
387,line_drive,96.92793136079806,97.20653674447993
387,popup,81.0562494782051,77.64425953280599
388,fly_ball,90.3244559187996,90.62570434751784
388,ground_ball,68.9671528273381,85.09742452151598
388,line_drive,97.05197193726275,90.87412363399707
388,popup,78.3413768848639,77.73379778889672
389,fly_ball,91.16880421372531,89.85079441459101
389,ground_ball,91.5531692333826,89.43464954215355
389,line_drive,96.6609426780058,96.90574079748671
389,popup,69.84181276096635,71.09116079897105
390,fly_ball,93.3295382597613,93.42473234573797
390,ground_ball,84.7356892789971,87.29368986691478
390,line_drive,97.5672079873037,97.82403663713094
390,popup,82.9776185678097,82.9682005366172
391,ground_ball,83.3152309553454,87.33050801130298
392,popup,65.8000783091431,67.94766810084161
393,fly_ball,90.0851158915746,89.97187142714942
393,ground_ball,95.66836375318745,89.91011647665279
393,line_drive,97.4622404826273,97.34567250260415
393,popup,77.96489740108001,80.1147571841542
394,fly_ball,86.3971410040174,86.57810071297287
394,ground_ball,85.28303086521254,89.81298944913843
394,line_drive,91.30809961271734,91.89762335639139
394,popup,78.1428927716751,79.33330183384422
396,fly_ball,87.9226151936648,87.63734921198309
396,ground_ball,91.99308530823714,91.72140656110996
396,line_drive,96.07536285822565,95.83051570852152
396,popup,64.5580410307509,75.554613543051
397,fly_ball,89.4731303360935,89.18758163353114
397,ground_ball,94.59617332481461,92.39440158645444
397,line_drive,95.7726480124444,95.95857748260718
397,popup,75.1476247627066,74.6098361644926
398,fly_ball,94.6914883752465,94.68035421020942
398,ground_ball,91.3605889353613,89.5899843594357
398,line_drive,98.3549195306465,98.47128515235039
398,popup,79.00762172023481,79.1591330681185
399,fly_ball,86.0765840900356,85.70637965654609
399,ground_ball,79.06155481301592,82.4297214394427
399,line_drive,76.93964478765625,77.85204359779459
399,popup,75.9712093275192,70.82503488528397
400,fly_ball,74.6420251556028,75.08868760092592
400,ground_ball,87.708862284968,89.46924377113247
400,line_drive,104.267464753335,104.32396871595387
